YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2021,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,88870352.00,0.00,0.00,347181.00,347181.00,89217533.00,0.00,100171.00,100171.00,0.00,0.00,0.00,0.00,0.00,100171.00,88970523.00,347181.00,89317704.00,0.00,127993597.00,127993597.00,0.00,0.00,594178.00,594178.00,128587775.00,0.00,159861.00,159861.00,0.00,0.00,0.00,0.00,0.00,159861.00,128153458.00,594178.00,128747636.00
2021,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,9277894.00,0.00,1313034.00,0.00,1313034.00,10590928.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9277894.00,1313034.00,10590928.00,0.00,13449128.00,13449128.00,0.00,1819739.00,0.00,1819739.00,15268867.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13449128.00,1819739.00,15268867.00
2021,1,1,19790,DL,DL,Delta Air Lines Inc.,3,0.00,106922159.00,13230378.00,7067153.00,20188252.00,40485783.00,147407942.00,0.00,1183560.00,1183560.00,2716361.00,0.00,0.00,0.00,2716361.00,3899921.00,108105719.00,43202144.00,151307863.00,0.00,174970608.00,174970608.00,21650585.00,11564899.00,33036657.00,66252141.00,241222749.00,0.00,1936813.00,1936813.00,4445133.00,0.00,0.00,0.00,4445133.00,6381946.00,176907421.00,70697274.00,247604695.00
2021,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,92578976.00,4110236.00,3561726.00,29152009.00,36823971.00,129402947.00,0.00,193280.00,193280.00,6470267.00,9306670.00,77313.00,0.00,15854250.00,16047530.00,92772256.00,52678221.00,145450477.00,0.00,130639432.00,130639432.00,5870803.00,4940102.00,42719462.00,53530367.00,184169799.00,0.00,274836.00,274836.00,9141920.00,12923553.00,115333.00,0.00,22180806.00,22455642.00,130914268.00,75711173.00,206625441.00
2021,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215919.00,215919.00,0.00,0.00,0.00,470563.00,470563.00,686482.00,215919.00,470563.00,686482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384143.00,384143.00,0.00,0.00,0.00,979111.00,979111.00,1363254.00,384143.00,979111.00,1363254.00
2021,1,1,19917,5X,5X,United Parcel Service,3,0.00,48687000.00,12871000.00,18915000.00,2991000.00,34777000.00,83464000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48687000.00,34777000.00,83464000.00,0.00,72457000.00,72457000.00,18161000.00,26857000.00,4640000.00,49658000.00,122115000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72457000.00,49658000.00,122115000.00
2021,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1067258.00,28977385.00,0.00,0.00,838522.00,838522.00,29815907.00,116101.00,15628.00,131729.00,0.00,0.00,0.00,0.00,0.00,131729.00,29109114.00,838522.00,29947636.00,1529483.00,48343204.00,49872687.00,0.00,0.00,1570080.00,1570080.00,51442767.00,166384.00,21781.00,188165.00,0.00,0.00,0.00,0.00,0.00,188165.00,50060852.00,1570080.00,51630932.00
2021,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,59816144.00,24229906.00,20563756.00,22610309.00,67403971.00,127220115.00,0.00,651659.00,651659.00,0.00,77348.00,22068.00,291319.00,390735.00,1042394.00,60467803.00,67794706.00,128262509.00,0.00,86367445.00,86367445.00,33683054.00,29410797.00,33759082.00,96852933.00,183220378.00,0.00,947923.00,947923.00,0.00,114718.00,37439.00,461391.00,613548.00,1561471.00,87315368.00,97466481.00,184781849.00
2021,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15359065.00,15359065.00,3741739.00,23555757.00,5637924.00,4908859.00,37844279.00,53203344.00,15359065.00,37844279.00,53203344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24804445.00,24804445.00,6531160.00,34997993.00,9480328.00,10112250.00,61121731.00,85926176.00,24804445.00,61121731.00,85926176.00
2021,1,1,20046,ZW,ZW,Air Wisconsin Airlines Corp,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
