YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2022,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,138907077.00,0.00,0.00,1376688.00,1376688.00,140283765.00,0.00,3395.00,3395.00,0.00,0.00,0.00,0.00,0.00,3395.00,138910472.00,1376688.00,140287160.00,0.00,284276193.00,284276193.00,0.00,0.00,3725311.00,3725311.00,288001504.00,0.00,9307.00,9307.00,0.00,0.00,0.00,0.00,0.00,9307.00,284285500.00,3725311.00,288010811.00
2022,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,16213822.00,0.00,1943224.00,0.00,1943224.00,18157046.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16213822.00,1943224.00,18157046.00,0.00,38276366.00,38276366.00,0.00,4247585.00,0.00,4247585.00,42523951.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38276366.00,4247585.00,42523951.00
2022,1,1,19790,DL,DL,Delta Air Lines Inc.,3,940.00,150028214.00,28550730.00,8119047.00,23683638.00,60353415.00,210381629.00,0.00,1872232.00,1872232.00,0.00,540222.00,6221.00,0.00,546443.00,2418675.00,151900446.00,60899858.00,212800304.00,2467.00,367597303.00,367599770.00,69955121.00,19893325.00,58029750.00,147878196.00,515477966.00,0.00,4587351.00,4587351.00,0.00,1323653.00,15242.00,0.00,1338895.00,5926246.00,372187121.00,149217091.00,521404212.00
2022,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,154533227.00,28864199.00,6311161.00,43353360.00,78528720.00,233061947.00,0.00,281947.00,281947.00,61460.00,2779698.00,78490.00,0.00,2919648.00,3201595.00,154815174.00,81448368.00,236263542.00,0.00,356437319.00,356437319.00,66896752.00,13647834.00,103159269.00,183703855.00,540141174.00,0.00,647342.00,647342.00,142576.00,6110739.00,191406.00,0.00,6444721.00,7092063.00,357084661.00,190148576.00,547233237.00
2022,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233135.00,233135.00,0.00,0.00,0.00,489830.00,489830.00,722965.00,233135.00,489830.00,722965.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,627516.00,627516.00,0.00,0.00,0.00,1398236.00,1398236.00,2025752.00,627516.00,1398236.00,2025752.00
2022,1,1,19917,5X,5X,United Parcel Service,3,3000.00,48319000.00,13568000.00,18458000.00,3111000.00,35137000.00,83456000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48319000.00,35137000.00,83456000.00,6000.00,116673000.00,116679000.00,30930000.00,39845000.00,7575000.00,78350000.00,195029000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116679000.00,78350000.00,195029000.00
2022,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1422778.00,43750216.00,0.00,0.00,1462948.00,1462948.00,45213164.00,102255.00,37106.00,139361.00,0.00,0.00,0.00,0.00,0.00,139361.00,43889577.00,1462948.00,45352525.00,3207230.00,112936495.00,116143725.00,0.00,0.00,4088580.00,4088580.00,120232305.00,230504.00,87951.00,318455.00,0.00,0.00,0.00,0.00,0.00,318455.00,116462180.00,4088580.00,120550760.00
2022,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,114281142.00,43636686.00,20973968.00,33415538.00,98026192.00,212307334.00,0.00,1219303.00,1219303.00,14620.00,248720.00,11435.00,328071.00,602846.00,1822149.00,115500445.00,98629038.00,214129483.00,0.00,271380889.00,271380889.00,99715665.00,47314086.00,81579490.00,228609241.00,499990130.00,0.00,2895693.00,2895693.00,33149.00,541776.00,26551.00,898914.00,1500390.00,4396083.00,274276582.00,230109631.00,504386213.00
2022,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14985562.00,14985562.00,6534818.00,27903505.00,6632496.00,2238007.00,43308826.00,58294388.00,14985562.00,43308826.00,58294388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38230723.00,38230723.00,17784107.00,61332813.00,16667365.00,6367130.00,102151415.00,140382138.00,38230723.00,102151415.00,140382138.00
