YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2023,1,1,20107,FX,FX,Federal Express Corporation,3,0.00,51353063.00,14740970.00,26030811.00,2112149.00,42883930.00,94236993.00,209.00,1444707.00,1444916.00,224468.00,257996.00,19663.00,337538.00,839665.00,2284581.00,52797979.00,43723595.00,96521574.00,0.00,174621000.00,174621000.00,46123000.00,73485000.00,7545000.00,127153000.00,301774000.00,625.00,4847000.00,4847625.00,729000.00,672000.00,71000.00,1238000.00,2710000.00,7557625.00,179468625.00,129863000.00,309331625.00
2023,1,1,20108,NC,NC,Northern Air Cargo Inc.,2,253717.00,253717.00,0.00,0.00,0.00,0.00,253717.00,53750.00,0.00,53750.00,0.00,0.00,0.00,0.00,0.00,53750.00,307467.00,0.00,307467.00,871094.00,0.00,871094.00,0.00,0.00,0.00,0.00,871094.00,184542.00,0.00,184542.00,0.00,0.00,0.00,0.00,0.00,184542.00,1055636.00,0.00,1055636.00
2023,1,1,20151,M6,M6,Amerijet International,2,0.00,0.00,0.00,0.00,707256.00,707256.00,707256.00,0.00,1263896.00,1263896.00,0.00,0.00,957567.00,0.00,957567.00,2221463.00,1263896.00,1664823.00,2928719.00,0.00,0.00,0.00,0.00,0.00,2474881.00,2474881.00,2474881.00,0.00,4422716.00,4422716.00,0.00,0.00,3350787.00,0.00,3350787.00,7773503.00,4422716.00,5825668.00,10248384.00
2023,1,1,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135623.00,135623.00,0.00,0.00,99623.00,0.00,99623.00,235246.00,135623.00,99623.00,235246.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,755778.00,755778.00,0.00,0.00,725891.00,0.00,725891.00,1481669.00,755778.00,725891.00,1481669.00
2023,1,1,20169,L2,L2,Lynden Air Cargo Airlines,2,154204.00,154204.00,0.00,0.00,0.00,0.00,154204.00,33973.00,29542.00,63515.00,91301.00,0.00,0.00,0.00,91301.00,154816.00,217719.00,91301.00,309020.00,548766.00,0.00,548766.00,0.00,0.00,0.00,0.00,548766.00,115591.00,91243.00,206834.00,271534.00,0.00,0.00,0.00,271534.00,478368.00,755600.00,271534.00,1027134.00
2023,1,1,20177,PFQ,PFQ,Asia Pacific,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,492550.00,0.00,0.00,492550.00,492550.00,0.00,492550.00,492550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1233561.00,0.00,0.00,1233561.00,1233561.00,0.00,1233561.00,1233561.00
2023,1,1,20195,WI,WI,Sky Lease Cargo,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210424.00,0.00,210424.00,210424.00,0.00,210424.00,210424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,729780.00,0.00,729780.00,729780.00,0.00,729780.00,729780.00
2023,1,1,20207,XP,XP,TEM Enterprises dba  Avelo Airlines,1,0.00,1755096.00,0.00,0.00,0.00,0.00,1755096.00,0.00,124766.00,124766.00,0.00,0.00,0.00,0.00,0.00,124766.00,1879862.00,0.00,1879862.00,0.00,6566521.00,6566521.00,0.00,0.00,0.00,0.00,6566521.00,0.00,466802.00,466802.00,0.00,0.00,0.00,0.00,0.00,466802.00,7033323.00,0.00,7033323.00
2023,1,1,20304,OO,OO,SkyWest Airlines Inc.,3,0.00,1774339.00,0.00,0.00,0.00,0.00,1774339.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1774339.00,0.00,1774339.00,0.00,7801205.00,7801205.00,0.00,0.00,0.00,0.00,7801205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7801205.00,0.00,7801205.00
2023,1,1,20363,9E,9E,Endeavor Air Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
