YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2020,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,161053094.00,0.00,0.00,1401057.00,1401057.00,162454151.00,0.00,63509.00,63509.00,0.00,0.00,0.00,0.00,0.00,63509.00,161116603.00,1401057.00,162517660.00,0.00,323308086.00,323308086.00,0.00,0.00,3309351.00,3309351.00,326617437.00,0.00,133801.00,133801.00,0.00,0.00,0.00,0.00,0.00,133801.00,323441887.00,3309351.00,326751238.00
2020,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,15917310.00,0.00,7805541.00,0.00,7805541.00,23722851.00,0.00,52227.00,52227.00,0.00,0.00,0.00,0.00,0.00,52227.00,15969537.00,7805541.00,23775078.00,0.00,31411784.00,31411784.00,0.00,15276809.00,0.00,15276809.00,46688593.00,0.00,107364.00,107364.00,0.00,0.00,0.00,0.00,0.00,107364.00,31519148.00,15276809.00,46795957.00
2020,1,1,19790,DL,DL,Delta Air Lines Inc.,3,0.00,178006347.00,50181058.00,28802742.00,29365930.00,108349730.00,286356077.00,0.00,2021946.00,2021946.00,219751.00,0.00,0.00,0.00,219751.00,2241697.00,180028293.00,108569481.00,288597774.00,0.00,340794016.00,340794016.00,96071880.00,55142989.00,56221216.00,207436085.00,548230101.00,0.00,4538778.00,4538778.00,420714.00,0.00,0.00,0.00,420714.00,4959492.00,345332794.00,207856799.00,553189593.00
2020,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,183787875.00,37577351.00,19118246.00,48116630.00,104812227.00,288600102.00,0.00,380922.00,380922.00,30312.00,52309.00,87054.00,0.00,169675.00,550597.00,184168797.00,104981902.00,289150699.00,0.00,349253485.00,349253485.00,72583794.00,36859038.00,96969780.00,206412612.00,555666097.00,0.00,708241.00,708241.00,60052.00,101370.00,176031.00,0.00,337453.00,1045694.00,349961726.00,206750065.00,556711791.00
2020,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35903.00,35903.00,0.00,0.00,0.00,734619.00,734619.00,770522.00,35903.00,734619.00,770522.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86508.00,86508.00,0.00,0.00,0.00,2096448.00,2096448.00,2182956.00,86508.00,2096448.00,2182956.00
2020,1,1,19917,5X,5X,United Parcel Service,3,0.00,46721000.00,11392000.00,15168000.00,2879000.00,29439000.00,76160000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46721000.00,29439000.00,76160000.00,0.00,90979000.00,90979000.00,22053000.00,30102000.00,5864000.00,58019000.00,148998000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90979000.00,58019000.00,148998000.00
2020,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1676350.00,57605418.00,0.00,0.00,1369694.00,1369694.00,58975112.00,125399.00,79860.00,205259.00,0.00,0.00,0.00,0.00,0.00,205259.00,57810677.00,1369694.00,59180371.00,3289046.00,125900915.00,129189961.00,0.00,0.00,3428594.00,3428594.00,132618555.00,246036.00,160179.00,406215.00,0.00,0.00,0.00,0.00,0.00,406215.00,129596176.00,3428594.00,133024770.00
2020,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,133344018.00,58338315.00,55713756.00,33224217.00,147276288.00,280620306.00,0.00,1066327.00,1066327.00,91426.00,276411.00,42563.00,0.00,410400.00,1476727.00,134410345.00,147686688.00,282097033.00,0.00,262623470.00,262623470.00,114348927.00,112022257.00,69081732.00,295452916.00,558076386.00,0.00,2108697.00,2108697.00,180509.00,554767.00,82227.00,0.00,817503.00,2926200.00,264732167.00,296270419.00,561002586.00
2020,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13871264.00,13871264.00,4412154.00,11984220.00,5106670.00,6440506.00,27943550.00,41814814.00,13871264.00,27943550.00,41814814.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30708154.00,30708154.00,10355719.00,24476219.00,11224773.00,16809721.00,62866432.00,93574586.00,30708154.00,62866432.00,93574586.00
2020,1,1,20046,ZW,ZW,Air Wisconsin Airlines Corp,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20100,PO,PO,Polar Air Cargo Airways,3,0.00,2222617.00,136796.00,8974596.00,0.00,9111392.00,11334009.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2222617.00,9111392.00,11334009.00,0.00,4381062.00,4381062.00,293575.00,16954823.00,0.00,17248398.00,21629460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4381062.00,17248398.00,21629460.00
